H-1	TOT
1.564060E-02	4.229980E-01
1.725220E-02	4.027570E-01
1.902980E-02	3.834850E-01
2.099060E-02	3.651340E-01
2.315340E-02	3.476620E-01
2.524190E-02	3.329690E-01
2.530000E-02	3.325870E-01
2.790680E-02	3.166720E-01
3.078230E-02	3.015190E-01
3.395400E-02	2.870910E-01
3.745250E-02	2.733540E-01
4.131150E-02	2.602730E-01
4.556810E-02	2.478190E-01
5.026330E-02	2.359610E-01
5.544230E-02	2.246700E-01
6.115490E-02	2.139190E-01
6.745610E-02	2.036830E-01
7.440660E-02	1.939360E-01
8.207320E-02	1.846560E-01
9.052970E-02	1.758200E-01
9.985770E-02	1.674070E-01
1.101470E-01	1.593970E-01
1.214960E-01	1.517690E-01
1.340140E-01	1.445070E-01
1.478230E-01	1.375920E-01
1.630540E-01	1.310080E-01
1.798550E-01	1.247390E-01
1.983860E-01	1.187710E-01
2.188270E-01	1.130870E-01
2.413750E-01	1.076760E-01
2.662450E-01	1.025240E-01
2.936780E-01	9.761770E-02
3.239380E-01	9.294660E-02
3.573160E-01	8.849900E-02
3.941320E-01	8.426420E-02
4.347430E-01	8.023210E-02
4.795370E-01	7.639300E-02
5.289470E-01	7.273760E-02
5.834480E-01	6.925730E-02
6.435650E-01	6.594390E-02
7.098760E-01	6.278960E-02
7.830200E-01	5.978710E-02
8.637000E-01	5.692930E-02
9.526930E-01	5.420930E-02
1.050860E+00	5.162000E-02
1.159130E+00	4.915440E-02
1.278570E+00	4.680570E-02
1.410300E+00	4.456770E-02
1.555620E+00	4.243520E-02
1.715900E+00	4.040420E-02
1.892710E+00	3.847030E-02
2.087720E+00	3.662960E-02
2.302840E+00	3.487750E-02
2.540120E+00	3.320930E-02
2.801840E+00	3.162070E-02
3.090530E+00	3.010730E-02
3.408970E+00	2.866570E-02
3.760220E+00	2.729360E-02
4.147670E+00	2.598740E-02
4.575030E+00	2.474350E-02
5.046420E+00	2.356020E-02
5.566390E+00	2.243450E-02
6.139940E+00	2.136130E-02
6.772580E+00	2.033910E-02
7.470400E+00	1.936580E-02
8.240130E+00	1.843700E-02
9.089170E+00	1.755350E-02
1.002570E+01	1.671360E-02
1.105870E+01	1.591460E-02
1.228420E+01	1.510000E-02
1.354990E+01	1.437740E-02
1.494610E+01	1.369090E-02
1.660160E+01	1.298800E-02
1.831210E+01	1.236590E-02
2.019900E+01	1.177420E-02
2.228020E+01	1.121110E-02
2.474920E+01	1.063720E-02
2.710810E+01	1.016360E-02
3.011220E+01	9.644530E-03
3.344750E+01	9.148470E-03
3.689380E+01	8.711010E-03
4.069520E+01	8.295180E-03
4.488840E+01	7.896730E-03
4.951350E+01	7.518620E-03
5.500050E+01	7.133050E-03
6.066760E+01	6.792700E-03
6.691860E+01	6.466380E-03
7.381370E+01	6.157350E-03
8.141920E+01	5.862880E-03
8.980840E+01	5.581170E-03
9.975590E+01	5.294930E-03
1.108110E+02	5.023220E-03
1.213720E+02	4.800550E-03
1.329470E+02	4.585540E-03
1.456180E+02	4.381810E-03
1.583870E+02	4.201370E-03
1.734920E+02	4.013400E-03
1.900270E+02	3.834610E-03
2.066910E+02	3.676360E-03
2.264020E+02	3.511540E-03
2.462560E+02	3.367440E-03
2.678500E+02	3.227390E-03
2.913380E+02	3.094420E-03
3.146670E+02	2.976880E-03
3.446750E+02	2.843360E-03
3.775260E+02	2.716460E-03
4.106320E+02	2.604410E-03
4.497910E+02	2.487410E-03
4.926610E+02	2.376420E-03
5.358630E+02	2.277730E-03
5.787990E+02	2.191070E-03
6.429090E+02	2.077110E-03
6.944230E+02	1.999100E-03
7.500270E+02	1.922110E-03
8.331430E+02	1.822390E-03
9.062030E+02	1.747130E-03
9.856690E+02	1.674400E-03
1.072100E+03	1.604260E-03
1.157950E+03	1.542690E-03
1.277260E+03	1.466820E-03
1.369940E+03	1.416100E-03
1.500580E+03	1.351560E-03
1.666790E+03	1.280800E-03
1.800350E+03	1.231680E-03
1.958220E+03	1.179960E-03
2.144860E+03	1.125900E-03
2.349400E+03	1.073990E-03
2.519880E+03	1.036170E-03
2.760050E+03	9.883630E-04
3.044430E+03	9.393960E-04
3.358120E+03	8.922290E-04
3.627190E+03	8.571590E-04
3.917630E+03	8.232820E-04
4.291230E+03	7.845030E-04
4.667540E+03	7.503370E-04
5.112400E+03	7.150550E-04
5.560720E+03	6.834340E-04
6.133680E+03	6.483610E-04
6.625140E+03	6.218130E-04
7.155640E+03	5.964150E-04
7.838030E+03	5.671570E-04
8.585080E+03	5.392810E-04
9.403790E+03	5.126470E-04
1.008610E+04	4.929560E-04
1.201620E+04	4.459890E-04
1.411720E+04	4.062890E-04
1.610540E+04	3.757820E-04
1.812700E+04	3.499650E-04
2.013480E+04	3.281650E-04
2.220940E+04	3.087760E-04
2.432740E+04	2.915430E-04
2.646070E+04	2.762670E-04
2.838070E+04	2.639490E-04
3.022670E+04	2.532790E-04
3.526290E+04	2.283980E-04
4.028220E+04	2.083760E-04
4.537520E+04	1.915920E-04
5.035270E+04	1.777300E-04
5.538800E+04	1.657140E-04
6.066700E+04	1.548420E-04
6.545850E+04	1.461510E-04
7.070000E+04	1.377720E-04
7.582990E+04	1.304810E-04
8.112870E+04	1.237550E-04
8.641010E+04	1.177340E-04
9.126970E+04	1.127050E-04
9.701990E+04	1.073230E-04
1.014110E+05	1.035990E-04
1.107760E+05	9.641150E-05
1.204900E+05	9.002690E-05
1.309170E+05	8.415440E-05
1.414000E+05	7.905340E-05
1.516600E+05	7.469570E-05
1.611290E+05	7.113220E-05
1.711990E+05	6.777210E-05
1.823350E+05	6.449320E-05
1.926810E+05	6.177970E-05
2.014110E+05	5.971510E-05
2.215520E+05	5.558670E-05
2.409800E+05	5.229180E-05
2.618340E+05	4.936710E-05
2.819750E+05	4.700000E-05
3.021160E+05	4.500110E-05
3.222570E+05	4.330310E-05
3.447970E+05	4.170300E-05
3.646700E+05	4.049620E-05
3.880800E+05	3.929180E-05
4.113660E+05	3.827910E-05
4.431040E+05	3.714190E-05
4.697800E+05	3.639540E-05
5.035270E+05	3.559990E-05
5.538800E+05	3.474370E-05
6.084650E+05	3.413450E-05
6.638200E+05	3.375310E-05
7.198910E+05	3.354230E-05
8.000000E+05	3.344730E-05
9.255740E+05	3.364240E-05
1.072560E+06	3.410870E-05
1.542620E+06	3.577930E-05
1.851150E+06	3.659020E-05
2.085850E+06	3.698630E-05
2.359630E+06	3.725380E-05
2.600000E+06	3.734500E-05
3.085250E+06	3.720240E-05
3.728410E+06	3.669550E-05
6.214020E+06	3.413760E-05
7.249690E+06	3.325330E-05
8.741530E+06	3.218890E-05
1.000000E+07	3.143760E-05
1.014110E+07	3.136860E-05
1.028420E+07	3.129860E-05
1.042920E+07	3.122770E-05
1.057640E+07	3.115580E-05
1.072560E+07	3.108280E-05
1.087690E+07	3.100890E-05
1.103040E+07	3.093380E-05
1.118600E+07	3.085780E-05
1.134380E+07	3.078060E-05
1.150380E+07	3.070240E-05
1.166610E+07	3.062300E-05
1.183070E+07	3.054260E-05
1.199760E+07	3.046100E-05
1.216690E+07	3.037820E-05
1.233860E+07	3.029430E-05
1.250000E+07	3.021540E-05
1.267640E+07	3.014220E-05
1.285520E+07	3.006800E-05
1.303660E+07	2.999270E-05
1.322050E+07	2.991640E-05
1.340700E+07	2.983900E-05
1.359610E+07	2.976040E-05
1.378800E+07	2.968080E-05
1.398250E+07	2.960010E-05
1.417980E+07	2.951820E-05
1.437980E+07	2.943520E-05
1.458270E+07	2.935100E-05
1.478840E+07	2.926560E-05
1.499700E+07	2.917900E-05
1.520860E+07	2.909120E-05
1.542320E+07	2.900210E-05
1.564080E+07	2.891180E-05
1.586150E+07	2.882030E-05
1.608520E+07	2.872740E-05
1.631220E+07	2.863320E-05
1.654230E+07	2.853770E-05
1.677570E+07	2.844080E-05
1.701240E+07	2.834260E-05
1.725240E+07	2.824300E-05
1.749580E+07	2.814190E-05
1.774260E+07	2.803950E-05
1.799290E+07	2.793560E-05
1.824680E+07	2.783020E-05
1.850420E+07	2.772340E-05
1.876530E+07	2.761500E-05
1.900000E+07	2.751760E-05
1.926810E+07	2.740780E-05
1.953990E+07	2.729640E-05
1.981560E+07	2.718350E-05
2.000000E+07	2.710790E-05
END
H-1 EL
1.00E-05	1159.66
1.10E-05	1104.18
1.22E-05	1051.36
1.34E-05	1001.07
1.48E-05	953.187
1.63E-05	907.595
1.80E-05	864.185
1.99E-05	822.853
2.19E-05	783.5
2.42E-05	746.031
2.67E-05	710.356
2.94E-05	676.389
3.24E-05	644.049
3.58E-05	613.258
3.95E-05	583.941
4.35E-05	556.029
4.80E-05	529.454
5.30E-05	504.152
5.84E-05	480.062
6.44E-05	457.127
7.11E-05	435.291
7.84E-05	414.502
8.65E-05	394.71
9.54E-05	375.866
0.000105235	357.927
0.000116078	340.849
0.000128039	324.59
0.000141232	309.112
0.000155784	294.377
0.000171835	280.349
0.00018954	266.997
0.00020907	254.286
0.000230612	242.186
0.000254374	230.669
0.000280584	219.707
0.000309494	209.273
0.000341383	199.343
0.000376558	189.891
0.000415358	180.897
0.000458155	172.337
0.000505362	164.191
0.000557433	156.441
0.000614869	149.067
0.000678223	142.051
0.000748105	135.376
0.000825188	129.027
0.000910213	122.988
0.001004	117.245
0.00110745	111.784
0.00122155	106.591
0.00134742	101.655
0.00148625	96.9629
0.00163939	92.5038
0.00180831	88.2668
0.00200871	83.9612
0.0022312	79.889
0.00247845	76.0351
0.00275297	72.3923
0.00305805	68.9472
0.00339677	65.6932
0.0037732	62.6184
0.00419113	59.7169
0.00465558	56.9778
0.00517125	54.3961
0.00574431	51.9619
0.00638057	49.6706
0.00708766	47.5134
0.00787271	45.4862
0.00874515	43.581
0.00971379	41.794
0.0108658	40.0106
0.0121545	38.3484
0.013596	36.8013
0.0152085	35.3637
0.0170122	34.0302
0.0191641	32.7212
0.0215871	31.5182
0.0243176	30.4143
0.0252419	30.0881
0.0253	30.0683
0.0286998	29.0336
0.0325565	28.0955
0.037192	27.2028
0.0424854	26.4036
0.0488745	25.6547
0.0566211	24.9617
0.0660549	24.3284
0.0776004	23.7567
0.0924546	23.2271
